Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,LoanAmount_log,Total_Income_log
Male,No,0,Graduate,No,128.0,360.0,1.0,Urban,1,5849.0,4.852030263919617,8.674025985443025
Male,Yes,1,Graduate,No,128.0,360.0,1.0,Rural,0,6091.0,4.852030263919617,8.714567550836485
Male,Yes,0,Graduate,Yes,66.0,360.0,1.0,Urban,1,3000.0,4.189654742026425,8.006367567650246
Male,Yes,0,Not Graduate,No,120.0,360.0,1.0,Urban,1,4941.0,4.787491742782046,8.50532301884575
Male,No,0,Graduate,No,141.0,360.0,1.0,Urban,1,6000.0,4.948759890378168,8.699514748210191
Male,Yes,2,Graduate,Yes,267.0,360.0,1.0,Urban,1,9613.0,5.58724865840025,9.170871628065816
Male,Yes,0,Not Graduate,No,95.0,360.0,1.0,Urban,1,3849.0,4.553876891600541,8.255568653283746
Male,Yes,3,Graduate,No,158.0,360.0,0.0,Semiurban,0,5540.0,5.062595033026967,8.61974977974133
Male,Yes,2,Graduate,No,168.0,360.0,1.0,Urban,1,5532.0,5.123963979403259,8.61830469278465
Male,Yes,1,Graduate,No,349.0,360.0,1.0,Semiurban,0,23809.0,5.855071922202427,10.077818939438902
Male,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,1,3900.0,4.248495242049359,8.268731832117737
Male,Yes,2,Graduate,No,109.0,360.0,1.0,Urban,1,4340.0,4.6913478822291435,8.375629627094451
Male,Yes,2,Graduate,No,200.0,360.0,1.0,Urban,1,11179.0,5.298317366548036,9.321792297270326
Male,No,0,Graduate,No,114.0,360.0,1.0,Rural,0,4693.0,4.736198448394496,8.453827315794417
Male,Yes,2,Graduate,No,17.0,120.0,1.0,Urban,1,2385.0,2.833213344056216,7.776954403322442
Male,No,0,Graduate,No,125.0,360.0,1.0,Urban,1,4950.0,4.8283137373023015,8.507142855562735
Male,No,1,Not Graduate,No,100.0,240.0,1.0,Urban,1,3596.0,4.605170185988092,8.18757739559151
Female,No,0,Graduate,No,76.0,360.0,0.0,Urban,0,3510.0,4.330733340286331,8.163371316459912
Male,Yes,0,Not Graduate,No,133.0,360.0,1.0,Rural,0,4887.0,4.890349128221754,8.494333897270154
Male,Yes,0,Graduate,No,115.0,360.0,1.0,Urban,1,6100.0,4.74493212836325,8.716044050161402
Male,Yes,0,Not Graduate,No,104.0,360.0,0.0,Urban,0,7660.0,4.6443908991413725,8.943767262734637
Male,Yes,1,Graduate,No,315.0,360.0,1.0,Urban,1,11580.0,5.752572638825633,9.357034751126987
Male,Yes,0,Not Graduate,No,116.0,360.0,0.0,Semiurban,0,4511.0,4.7535901911063645,8.414274137408396
Male,Yes,2,Not Graduate,No,112.0,360.0,0.0,Rural,0,5282.0,4.718498871295094,8.572060092857077
Male,Yes,1,Graduate,No,151.0,360.0,1.0,Semiurban,0,6642.0,5.017279836814924,8.801168401936692
Male,Yes,0,Graduate,Yes,191.0,360.0,1.0,Semiurban,1,9560.0,5.25227342804663,9.165343006045447
Male,Yes,0,Graduate,No,122.0,360.0,1.0,Semiurban,1,5052.0,4.804021044733257,8.527539483470381
Male,Yes,2,Not Graduate,No,110.0,360.0,1.0,Urban,1,5266.0,4.700480365792417,8.569026340056254
Male,No,0,Not Graduate,No,35.0,360.0,1.0,Urban,0,1442.0,3.5553480614894135,7.273786317844895
Female,No,2,Graduate,No,120.0,360.0,1.0,Semiurban,1,5833.0,4.787491742782046,8.671286726753637
Male,Yes,1,Graduate,No,201.0,360.0,1.0,Urban,0,7535.0,5.303304908059076,8.927314111060596
Male,No,0,Graduate,No,74.0,360.0,1.0,Urban,0,3167.0,4.30406509320417,8.06054004653864
Male,No,1,Graduate,Yes,106.0,360.0,1.0,Rural,0,4692.0,4.663439094112067,8.453614209773367
Male,Yes,0,Graduate,No,114.0,360.0,1.0,Semiurban,1,5167.0,4.736198448394496,8.550047528287184
Male,No,3,Graduate,No,320.0,360.0,1.0,Rural,0,15500.0,5.768320995793772,9.648595302907339
Male,Yes,0,Graduate,No,128.0,360.0,1.0,Urban,1,4342.0,4.852030263919617,8.376090350438238
Male,Yes,0,Graduate,No,100.0,360.0,0.0,Urban,0,3158.0,4.605170185988092,8.057694194815587
Female,Yes,0,Graduate,No,144.0,360.0,1.0,Semiurban,1,5126.0,4.969813299576001,8.542080906924017
Male,No,0,Graduate,No,184.0,360.0,1.0,Urban,1,11376.0,5.214935757608986,9.339261152043022
Male,No,0,Not Graduate,No,110.0,360.0,1.0,Semiurban,1,5416.0,4.700480365792417,8.59711281459211
Male,No,0,Graduate,No,80.0,360.0,1.0,Urban,0,3600.0,4.382026634673881,8.1886891244442
Male,No,0,Graduate,No,47.0,360.0,1.0,Urban,1,3013.0,3.8501476017100584,8.0106915391303
Male,Yes,0,Graduate,No,75.0,360.0,1.0,Urban,1,2400.0,4.31748811353631,7.783224016336037
Male,Yes,0,Graduate,No,134.0,360.0,1.0,Semiurban,1,6277.0,4.897839799950911,8.744647438317532
Male,Yes,0,Not Graduate,Yes,96.0,360.0,1.0,Urban,1,4695.0,4.564348191467836,8.454253391642363
Female,No,0,Graduate,No,88.0,360.0,1.0,Urban,1,3410.0,4.477336814478207,8.134467570277563
Male,Yes,1,Graduate,No,44.0,360.0,1.0,Urban,1,5649.0,3.784189633918261,8.639233817325263
Male,Yes,0,Graduate,No,144.0,360.0,1.0,Urban,1,5821.0,4.969813299576001,8.669227347271736
Female,Yes,0,Graduate,No,120.0,360.0,0.0,Urban,0,6085.0,4.787491742782046,8.713582005421628
Female,No,0,Graduate,No,144.0,360.0,1.0,Semiurban,1,6275.0,4.969813299576001,8.744328763999984
Female,Yes,0,Not Graduate,No,100.0,360.0,1.0,Semiurban,1,3572.0,4.605170185988092,8.18088094199639
Female,No,0,Graduate,No,120.0,360.0,1.0,Semiurban,1,3086.0,4.787491742782046,8.034631032923107
Female,No,0,Graduate,No,112.0,360.0,1.0,Semiurban,0,4230.0,4.718498871295094,8.349957272040324
Male,Yes,2,Graduate,No,134.0,360.0,1.0,Urban,0,4616.0,4.897839799950911,8.437283808187935
Female,Yes,1,Graduate,Yes,286.0,360.0,0.0,Urban,0,11500.0,5.655991810819852,9.350102314351341
Male,Yes,2,Graduate,No,97.0,360.0,1.0,Semiurban,1,3875.0,4.574710978503383,8.262300941787448
Male,Yes,0,Graduate,No,96.0,360.0,1.0,Semiurban,1,3723.0,4.564348191467836,8.222285073872717
Male,Yes,0,Graduate,No,135.0,360.0,1.0,Rural,0,5566.0,4.90527477843843,8.624431942085836
Male,Yes,1,Graduate,No,180.0,360.0,1.0,Urban,1,10330.0,5.19295685089021,9.242807562113684
Male,Yes,2,Not Graduate,No,144.0,360.0,1.0,Urban,1,6216.0,4.969813299576001,8.734881892047483
Male,Yes,0,Graduate,No,120.0,360.0,1.0,Urban,1,6296.0,4.787491742782046,8.74766979009724
Male,Yes,3,Graduate,No,99.0,360.0,1.0,Urban,1,3029.0,4.59511985013459,8.015987811027237
Male,Yes,0,Not Graduate,Yes,165.0,180.0,0.0,Rural,0,6058.0,5.10594547390058,8.709134991587183
Male,Yes,1,Graduate,No,128.0,360.0,0.0,Rural,0,4945.0,4.852030263919617,8.506132244056813
Female,No,0,Graduate,No,116.0,360.0,0.0,Semiurban,0,4166.0,4.7535901911063645,8.334711621820917
Male,Yes,0,Graduate,No,258.0,360.0,1.0,Semiurban,0,10321.0,5.552959584921617,9.241935933565934
Male,No,0,Not Graduate,No,126.0,180.0,0.0,Urban,0,5454.0,4.836281906951478,8.604104563405533
Male,Yes,1,Graduate,No,312.0,360.0,1.0,Urban,1,10750.0,5.7430031878094825,9.28266103355581
Male,Yes,3,Not Graduate,Yes,125.0,60.0,1.0,Urban,1,7100.0,4.8283137373023015,8.867850063029406
Female,No,0,Graduate,No,136.0,360.0,0.0,Semiurban,0,4300.0,4.912654885736052,8.366370301681654
Male,Yes,0,Graduate,No,172.0,360.0,1.0,Urban,1,6274.0,5.147494476813453,8.744169388750624
Male,Yes,2,Not Graduate,Yes,97.0,360.0,1.0,Semiurban,1,3750.0,4.574710978503383,8.229511118964457
Male,No,0,Graduate,No,81.0,300.0,1.0,Semiurban,1,3500.0,4.394449154672439,8.160518247477505
Male,Yes,3,Not Graduate,No,95.0,360.0,0.0,Semiurban,0,4755.0,4.553876891600541,8.46695197497949
Male,Yes,3,Graduate,Yes,187.0,360.0,1.0,Semiurban,1,7040.0,5.231108616854587,8.859363449152088
Male,No,0,Graduate,No,113.0,480.0,1.0,Urban,0,3750.0,4.727387818712341,8.229511118964457
Male,No,0,Graduate,No,176.0,360.0,1.0,Urban,0,8500.0,5.170483995038151,9.047821442478408
Male,Yes,1,Graduate,Yes,110.0,360.0,1.0,Urban,0,4022.0,4.700480365792417,8.299534570332597
Male,Yes,3,Graduate,No,180.0,300.0,0.0,Semiurban,0,7167.0,5.19295685089021,8.877242435993919
Male,Yes,3,Not Graduate,Yes,130.0,360.0,1.0,Semiurban,1,5499.0,4.867534450455582,8.612321536507814
Female,No,0,Graduate,No,111.0,360.0,1.0,Semiurban,1,3846.0,4.709530201312334,8.254788926148725
Male,Yes,1,Graduate,Yes,128.0,360.0,1.0,Semiurban,1,2395.0,4.852030263919617,7.781138509845015
Female,Yes,2,Graduate,No,167.0,360.0,1.0,Urban,0,3259.0,5.117993812416755,8.089175678837561
Male,Yes,0,Graduate,No,265.0,360.0,1.0,Semiurban,0,8250.0,5.579729825986222,9.017968479328726
Male,Yes,1,Graduate,No,50.0,240.0,1.0,Urban,1,3988.0,3.912023005428146,8.291045131081729
Male,No,0,Graduate,No,136.0,360.0,1.0,Semiurban,1,4897.0,4.912654885736052,8.496378051702317
Male,Yes,2,Not Graduate,No,99.0,360.0,1.0,Semiurban,1,5333.0,4.59511985013459,8.581669210600602
Male,Yes,0,Graduate,No,104.0,360.0,1.0,Semiurban,1,4618.0,4.6443908991413725,8.43771698991444
Male,No,0,Graduate,No,210.0,360.0,1.0,Urban,1,8566.0,5.3471075307174685,9.055556158175316
Male,Yes,0,Graduate,No,175.0,360.0,1.0,Semiurban,1,9862.0,5.1647859739235145,9.196444266784072
Male,Yes,0,Graduate,No,131.0,360.0,1.0,Semiurban,1,5858.0,4.875197323201151,8.675563527387679
Male,Yes,2,Graduate,No,188.0,180.0,1.0,Semiurban,1,11904.0,5.236441962829949,9.384629757072872
Male,Yes,2,Not Graduate,No,81.0,360.0,1.0,Urban,1,5093.0,4.394449154672439,8.535622326884605
Male,No,0,Graduate,No,122.0,360.0,1.0,Semiurban,1,4133.0,4.804021044733257,8.326758814511733
Male,No,0,Not Graduate,No,25.0,120.0,1.0,Semiurban,1,3620.0,3.2188758248682006,8.194229304819817
Male,No,0,Graduate,No,128.0,360.0,1.0,Urban,0,6782.0,4.852030263919617,8.822027322685583
Female,Yes,0,Graduate,No,137.0,360.0,1.0,Semiurban,1,4786.0,4.919980925828125,8.47345026846832
Male,Yes,0,Graduate,No,50.0,360.0,1.0,Semiurban,1,2974.0,3.912023005428146,7.9976631270201
Male,Yes,0,Not Graduate,No,115.0,180.0,1.0,Semiurban,1,4188.0,4.74493212836325,8.339978571990427
Male,Yes,0,Graduate,No,131.0,360.0,1.0,Semiurban,1,5300.0,4.875197323201151,8.575462099540212
Male,Yes,2,Not Graduate,No,133.0,180.0,1.0,Urban,1,7551.0,4.890349128221754,8.929435283803425
Male,No,0,Graduate,No,151.0,360.0,1.0,Semiurban,1,8649.0,5.017279836814924,9.065198986306513
Male,Yes,0,Graduate,No,128.0,360.0,1.0,Urban,1,13650.0,4.852030263919617,9.521494800613105
Male,Yes,0,Graduate,No,128.0,360.0,1.0,Semiurban,1,8235.0,4.852030263919617,9.016148642611741
Male,Yes,0,Graduate,No,160.0,360.0,1.0,Urban,1,4570.0,5.075173815233827,8.42726848388825
Male,Yes,1,Graduate,No,100.0,360.0,1.0,Urban,1,4082.0,4.605170185988092,8.31434234336979
Male,Yes,2,Graduate,No,225.0,360.0,1.0,Urban,1,12543.0,5.41610040220442,9.436918020024674
Male,No,0,Not Graduate,No,120.0,360.0,1.0,Rural,0,7333.0,4.787491742782046,8.9001399880938
Male,Yes,2,Graduate,No,216.0,360.0,0.0,Urban,0,7400.0,5.375278407684165,8.909235279192261
Male,Yes,3,Not Graduate,No,94.0,480.0,1.0,Semiurban,1,2825.0,4.543294782270004,7.946263643580541
Male,No,0,Graduate,No,136.0,360.0,1.0,Urban,1,5316.0,4.912654885736052,8.578476419833136
Female,Yes,0,Graduate,No,139.0,360.0,1.0,Semiurban,1,5262.0,4.9344739331306915,8.568266461600238
Male,Yes,0,Not Graduate,No,152.0,360.0,0.0,Rural,0,7686.0,5.0238805208462765,8.94715577112479
Female,No,1,Graduate,Yes,128.0,360.0,1.0,Semiurban,1,7451.0,4.852030263919617,8.916103530553727
Male,No,0,Graduate,No,118.0,360.0,1.0,Semiurban,1,5050.0,4.770684624465665,8.527143522269405
Male,Yes,1,Graduate,No,185.0,180.0,1.0,Rural,1,14583.0,5.220355825078324,9.587611745713565
Female,Yes,0,Graduate,No,154.0,360.0,1.0,Semiurban,1,5450.0,5.0369526024136295,8.60337088765729
Male,Yes,1,Graduate,No,85.0,360.0,1.0,Urban,1,3612.0,4.442651256490317,8.192016914536875
Male,Yes,0,Graduate,No,175.0,360.0,1.0,Rural,0,7710.0,5.1647859739235145,8.950273466557375
Female,No,0,Graduate,No,259.0,360.0,1.0,Urban,1,10408.0,5.556828061699537,9.250330020192342
Male,Yes,0,Graduate,No,180.0,360.0,1.0,Rural,1,8334.0,5.19295685089021,9.0280988119824
Female,No,0,Graduate,No,44.0,360.0,1.0,Semiurban,1,4166.0,3.784189633918261,8.334711621820917
Female,No,0,Graduate,No,137.0,360.0,0.0,Semiurban,1,11117.0,4.919980925828125,9.316230747233615
Male,Yes,2,Graduate,No,81.0,360.0,1.0,Semiurban,1,2957.0,4.394449154672439,7.9919305198524775
Male,Yes,0,Not Graduate,No,194.0,360.0,1.0,Rural,1,6314.0,5.267858159063328,8.750524669117937
Female,No,0,Graduate,No,93.0,360.0,1.0,Rural,1,3692.0,4.532599493153256,8.213923595622743
Male,Yes,3,Graduate,No,370.0,360.0,1.0,Rural,1,23803.0,5.91350300563827,10.077566902136047
Male,No,0,Graduate,No,128.0,360.0,1.0,Rural,1,5505.0,4.852030263919617,8.61341204915678
Male,Yes,1,Graduate,Yes,160.0,180.0,0.0,Urban,0,14363.0,5.075173815233827,9.572410734431823
Male,Yes,0,Graduate,No,182.0,360.0,1.0,Rural,0,8649.0,5.204006687076795,9.065198986306513
Male,No,0,Graduate,Yes,650.0,480.0,1.0,Urban,1,20166.0,6.476972362889683,9.91175329695316
Male,No,0,Graduate,No,74.0,360.0,1.0,Urban,1,3943.0,4.30406509320417,8.279697133877628
Male,No,0,Graduate,No,70.0,360.0,1.0,Semiurban,1,2718.0,4.248495242049359,7.907651594711089
Male,Yes,0,Graduate,Yes,25.0,120.0,1.0,Semiurban,1,3459.0,3.2188758248682006,8.148734808937169
Male,No,0,Graduate,No,102.0,360.0,1.0,Semiurban,1,4895.0,4.624972813284271,8.49596955496461
Male,Yes,3,Graduate,No,290.0,360.0,1.0,Semiurban,0,11750.0,5.66988092298052,9.371608519572305
Female,Yes,0,Graduate,No,84.0,360.0,1.0,Rural,0,4583.0,4.430816798843313,8.430109084509125
Male,Yes,2,Graduate,Yes,88.0,360.0,1.0,Urban,1,6816.0,4.477336814478207,8.827028068509152
Male,No,0,Graduate,No,242.0,360.0,0.0,Semiurban,0,14999.0,5.488937726156687,9.61573881119536
Male,Yes,2,Not Graduate,No,129.0,360.0,1.0,Rural,0,5630.0,4.859812404361672,8.635864721133736
Male,Yes,2,Graduate,No,185.0,360.0,1.0,Rural,0,7125.0,5.220355825078324,8.871365005136852
Male,No,0,Graduate,No,168.0,360.0,1.0,Urban,1,5417.0,5.123963979403259,8.597297435657898
Male,No,0,Graduate,Yes,175.0,180.0,1.0,Semiurban,1,6950.0,5.1647859739235145,8.846496938558838
Male,Yes,0,Graduate,No,122.0,360.0,1.0,Semiurban,1,4732.0,4.804021044733257,8.462103225098277
Male,Yes,2,Graduate,No,187.0,180.0,1.0,Urban,1,11757.0,5.231108616854587,9.372204086867741
Female,Yes,0,Graduate,No,100.0,360.0,1.0,Semiurban,1,6816.0,4.605170185988092,8.827028068509152
Female,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,1,14866.0,4.248495242049359,9.60683200528524
Male,Yes,1,Graduate,No,30.0,360.0,1.0,Urban,1,2963.0,3.4011973816621555,7.993957547573565
Female,No,0,Graduate,No,225.0,360.0,1.0,Rural,0,11666.0,5.41610040220442,9.364433907313582
Male,Yes,0,Graduate,No,125.0,360.0,1.0,Semiurban,1,5690.0,4.8283137373023015,8.646465527120377
Male,No,0,Graduate,No,118.0,360.0,0.0,Rural,0,6277.0,4.770684624465665,8.744647438317532
Male,Yes,0,Graduate,Yes,152.0,360.0,1.0,Rural,1,6327.0,5.0238805208462765,8.752581469146884
Male,No,0,Graduate,No,244.0,360.0,1.0,Urban,0,9166.0,5.497168225293202,9.123256265069069
Male,Yes,2,Not Graduate,No,113.0,360.0,1.0,Rural,0,2281.0,4.727387818712341,7.732369222284388
Male,No,0,Graduate,No,50.0,360.0,1.0,Urban,1,3254.0,3.912023005428146,8.087640287778983
Male,Yes,3,Graduate,No,600.0,180.0,0.0,Semiurban,1,39999.0,6.396929655216146,10.596609732783568
Male,Yes,1,Graduate,No,160.0,360.0,1.0,Rural,1,6000.0,5.075173815233827,8.699514748210191
Male,Yes,1,Graduate,No,187.0,360.0,1.0,Urban,1,9538.0,5.231108616854587,9.16303909885817
Male,No,0,Graduate,No,120.0,360.0,1.0,Rural,1,5063.0,4.787491742782046,8.529714471969909
Male,Yes,0,Graduate,No,255.0,360.0,1.0,Semiurban,1,10208.0,5.541263545158426,9.23092700558457
Male,Yes,0,Not Graduate,No,98.0,360.0,1.0,Semiurban,1,2904.0,4.584967478670572,7.973844375944687
Male,Yes,0,Graduate,No,275.0,360.0,1.0,Urban,0,7933.0,5.616771097666572,8.978786553302003
Male,Yes,1,Graduate,No,121.0,360.0,0.0,Semiurban,0,4369.0,4.795790545596741,8.382289428951436
Male,Yes,2,Graduate,No,158.0,360.0,1.0,Rural,1,5614.0,5.062595033026967,8.633018756921828
Male,Yes,0,Graduate,No,75.0,180.0,1.0,Urban,1,9323.0,4.31748811353631,9.140239744296693
Male,Yes,0,Graduate,No,182.0,360.0,1.0,Rural,1,6873.0,5.204006687076795,8.835355971121606
Female,Yes,0,Graduate,No,112.0,360.0,1.0,Rural,0,4583.0,4.718498871295094,8.430109084509125
Male,Yes,0,Graduate,No,129.0,360.0,1.0,Rural,1,5772.0,4.859812404361672,8.660773919893762
Male,No,0,Graduate,No,63.0,480.0,0.0,Semiurban,0,2237.0,4.143134726391533,7.71289096149013
Male,Yes,2,Graduate,No,200.0,360.0,1.0,Semiurban,1,8000.0,5.298317366548036,8.987196820661973
Male,Yes,0,Not Graduate,No,95.0,360.0,1.0,Rural,1,3589.0,4.553876891600541,8.185628891147607
Male,Yes,3,Graduate,No,700.0,300.0,1.0,Urban,1,51763.0,6.551080335043404,10.854430887309706
Male,Yes,3,Not Graduate,No,81.0,180.0,1.0,Rural,0,3522.0,4.394449154672439,8.166784289056151
Male,Yes,0,Graduate,No,187.0,360.0,1.0,Semiurban,1,11333.0,5.231108616854587,9.335474102732949
Male,Yes,0,Not Graduate,Yes,87.0,360.0,1.0,Semiurban,0,5080.0,4.465908118654584,8.533066540572527
Male,Yes,0,Graduate,No,116.0,360.0,1.0,Rural,1,5461.0,4.7535901911063645,8.605387202152153
Male,Yes,2,Graduate,No,101.0,360.0,1.0,Rural,1,3664.0,4.61512051684126,8.20631072579402
Male,Yes,3,Graduate,No,495.0,360.0,0.0,Semiurban,0,16816.0,6.20455776256869,9.730086093116732
Male,Yes,1,Graduate,No,116.0,360.0,1.0,Semiurban,1,3750.0,4.7535901911063645,8.229511118964457
Male,No,0,Not Graduate,No,102.0,480.0,0.0,Urban,0,3784.0,4.624972813284271,8.238536930171769
Male,Yes,1,Graduate,No,180.0,360.0,0.0,Urban,0,13650.0,5.19295685089021,9.521494800613105
Male,No,0,Graduate,No,67.0,360.0,1.0,Rural,0,6979.0,4.204692619390966,8.850660919017152
Male,Yes,0,Graduate,No,73.0,180.0,1.0,Semiurban,1,4600.0,4.290459441148391,8.433811582477187
Male,Yes,1,Graduate,No,260.0,360.0,1.0,Semiurban,0,33846.0,5.560681631015528,10.429576102968031
Female,Yes,0,Graduate,No,108.0,360.0,1.0,Semiurban,1,3625.0,4.68213122712422,8.195609567288775
Male,Yes,0,Graduate,Yes,120.0,360.0,1.0,Semiurban,1,43897.0,4.787491742782046,10.689601259598334
Male,Yes,1,Graduate,Yes,66.0,300.0,0.0,Rural,0,2178.0,4.189654742026425,7.686162303492906
Male,Yes,0,Graduate,No,58.0,360.0,1.0,Rural,1,4521.0,4.060443010546419,8.416488487294606
Male,Yes,0,Graduate,Yes,168.0,360.0,1.0,Rural,1,5970.0,5.123963979403259,8.694502206386648
Male,Yes,0,Graduate,No,188.0,180.0,1.0,Rural,1,9328.0,5.236441962829949,9.140775908590273
Male,No,0,Not Graduate,No,48.0,360.0,1.0,Rural,1,4885.0,3.871201010907891,8.493924564476883
Male,No,0,Graduate,No,164.0,360.0,1.0,Semiurban,0,12000.0,5.099866427824199,9.392661928770137
Male,Yes,0,Not Graduate,No,160.0,360.0,1.0,Urban,0,6033.0,5.075173815233827,8.704999678440762
Male,No,0,Graduate,No,76.0,360.0,1.0,Semiurban,1,3858.0,4.330733340286331,8.257904193465674
Male,No,0,Graduate,No,120.0,360.0,1.0,Rural,1,4191.0,4.787491742782046,8.340694647925071
Male,Yes,1,Graduate,No,170.0,360.0,1.0,Semiurban,0,5708.0,5.135798437050262,8.649623978596727
Male,No,0,Graduate,No,187.0,360.0,1.0,Rural,1,12083.0,5.231108616854587,9.399554785027307
Female,No,0,Not Graduate,No,120.0,360.0,1.0,Urban,1,4272.0,4.787491742782046,8.35983738064003
Female,Yes,0,Graduate,No,113.0,360.0,1.0,Semiurban,1,6232.0,4.727387818712341,8.737452587550584
Male,No,0,Graduate,Yes,83.0,360.0,1.0,Urban,0,11000.0,4.418840607796598,9.305650551780507
Male,Yes,1,Not Graduate,No,90.0,360.0,1.0,Semiurban,1,5100.0,4.499809670330265,8.536995818712418
Male,No,2,Graduate,No,166.0,360.0,0.0,Semiurban,1,4923.0,5.111987788356544,8.5016733797582
Male,Yes,3,Not Graduate,No,128.0,180.0,1.0,Urban,0,3992.0,4.852030263919617,8.292047637431354
